id,relativePathAndFileName,status,siteIdCodes,systemWhenCreated,systemWhoCreated
7065,customImages/gefeg/gefegLogo.png,confirmed,gf,2019-02-12 16:56:49,dev
9132,customImages/gefeg/quarterReportIcon1.png,confirmed,gf,2019-02-12 17:01:00,dev
9142,.vscode/launch.json,confirmed,dev,2019-02-12 17:00:51,dev
10573,data/showcases/showcaseReadXml.xml,confirmed,core,2019-02-12 21:23:31,dev
10583,dev/javascript_from_dpp.txt,confirmed,dev,2019-02-12 21:23:41,dev
10861,dev/snippets_javascript.json,confirmed,dev,2019-02-12 21:25:56,dev
10871,examples/learnBits/dataIncludes.htm,confirmed,dev,2019-02-12 21:26:43,dev
10872,examples/learnBits/dataBootStrap.htm,confirmed,dev,2019-02-12 21:26:37,dev
10874,examples/learnBits/dataWfcQuestion.htm,confirmed,dev,2019-02-12 21:26:48,dev
10875,fonts/Roboto-BoldItalic.ttf,confirmed,core,2019-02-12 21:26:59,dev
10876,fonts/Roboto-Italic.ttf,confirmed,core,2019-02-12 21:27:01,dev
10877,fonts/Roboto-Regular.ttf,confirmed,core,2019-02-12 21:27:02,dev
10878,dev/todo.txt,confirmed,dev,2019-02-12 21:26:13,dev
10879,less/systemCss/system_layout_plain.less,confirmed,core,2019-02-12 21:27:12,dev
10880,less/systemCss/system_layout_bootstrap.less,confirmed,core,2019-02-12 21:27:11,dev
10881,less-watch-compiler.config.json,confirmed,core,2019-02-12 21:27:07,dev
10882,package-lock.json,confirmed,core,2019-02-12 21:32:40,dev
10883,less/systemCss/system_main.less,confirmed,core,2019-02-12 21:27:20,dev
10884,examples/learnBits/dataWfc.htm,confirmed,dev,2019-02-12 21:26:47,dev
10886,package.json,confirmed,core,2019-02-12 21:32:59,dev
10936,public/output/portalQuarterReport.pdf,confirmed,ignore,2019-02-12 21:33:48,dev
10938,public/output/showcasePdfReport.pdf,confirmed,ignore,2019-02-12 21:34:38,dev
10940,public/systemCss/system_layout_bootstrap.css,confirmed,core,2019-02-12 21:34:51,dev
10941,public/systemCss/system_layout_plain.css,confirmed,core,2019-02-12 21:34:54,dev
10942,public/systemImages/enhancedDropdown.png,confirmed,core,2019-02-12 21:35:31,dev
10943,public/systemCss/system_main.css,confirmed,core,2019-02-12 21:34:56,dev
10944,public/systemJavaScript/qtools.js,confirmed,core,2019-02-12 21:35:34,dev
10945,qtools/qarr.js,confirmed,core,2019-02-12 21:35:37,dev
10946,qtools/qdbs.js,confirmed,core,2019-02-12 21:35:38,dev
10947,qtools/qdat.js,confirmed,core,2019-02-12 21:35:37,dev
10948,qtools/qdev.js,confirmed,core,2019-02-12 21:35:38,dev
10949,qtools/qfil.js,confirmed,core,2019-02-12 21:35:39,dev
10950,qtools/qsys.js,confirmed,core,2019-02-12 21:35:41,dev
10951,public/output/showcaseCreatePdfTest.pdf,confirmed,ignore,2019-02-12 21:34:35,dev
10952,system/system.js,confirmed,core,2019-02-12 21:35:54,dev
10953,qtools/qstr.js,confirmed,core,2019-02-12 21:35:40,dev
10954,system/config.js,confirmed,core,2019-02-12 21:35:50,dev
10960,server.js,confirmed,core,2019-02-12 21:35:46,dev
10975,qtools/qmat.js,confirmed,core,2019-02-12 21:35:39,dev
11126,examples/learnBits/test.htm,confirmed,dev,2019-02-12 21:26:50,dev
11127,fonts/Roboto-Bold.ttf,confirmed,core,2019-02-12 21:26:59,dev
11128,examples/learnBits/test.js,confirmed,dev,2019-02-12 21:26:52,dev
11298,systemBuilders/pageBuilderSqlStatement.js,confirmed,core,2019-02-12 21:47:15,dev
11299,systemBuilders/pageBuilderCustomForm.js,confirmed,core,2019-02-12 21:47:12,dev
11300,systemBuilders/pageBuilderDisplayXmlFile.js,confirmed,core,2019-02-12 21:47:14,dev
11301,systemBuilders/pageBuilderEditItem.js,confirmed,core,2019-02-12 21:47:14,dev
11302,systemClasses/batchImporter.js,confirmed,core,2019-02-12 21:47:15,dev
11303,systemClasses/dpdata.js,confirmed,core,2019-02-12 21:47:16,dev
11304,systemClasses/choice.js,confirmed,core,2019-02-12 21:47:16,dev
11305,systemClasses/dpDataLoader.js,confirmed,core,2019-02-12 21:47:17,dev
11306,systemClasses/dpRequestExecuteSql.js,confirmed,core,2019-02-12 21:47:17,dev
11308,systemBuilders/pageBuilderTextParser.js,confirmed,core,2019-02-12 21:47:15,dev
11309,systemClasses/dpRequestGetRecords.js,confirmed,core,2019-02-12 21:47:18,dev
11310,systemClasses/dpRequest.js,confirmed,core,2019-02-12 21:47:17,dev
11311,systemClasses/dpFileSystem.js,confirmed,core,2019-02-12 21:47:17,dev
11312,systemClasses/dpRequestGetSearch.js,confirmed,core,2019-02-12 21:47:18,dev
11313,systemClasses/dynamicFile.js,confirmed,core,2019-02-12 21:47:18,dev
11314,systemClasses/dqlDataLoader.js,confirmed,core,2019-02-12 21:47:18,dev
11315,systemClasses/dynamicFileCodeAreaCodeChunk.js,confirmed,core,2019-02-12 21:47:19,dev
11316,systemClasses/dynamicFileCodeArea.js,confirmed,core,2019-02-12 21:47:18,dev
11317,systemClasses/dynamicPageFile.js,confirmed,core,2019-02-12 21:47:19,dev
11318,systemClasses/loadDqlStatementParser.js,confirmed,core,2019-02-12 21:47:19,dev
11319,systemClasses/pdfDocumentWithTables.js,confirmed,core,2019-02-12 21:47:19,dev
11321,systemClasses/showcaseDataAccessManager.js,confirmed,core,2019-02-12 21:47:20,dev
11322,systemClasses/smartEntityType.js,confirmed,core,2019-02-12 21:47:24,dev
11323,systemClasses/smartItemType.js,confirmed,core,2019-02-12 21:47:25,dev
11324,systemClasses/smartText.js,confirmed,core,2019-02-12 21:47:25,dev
11325,systemClasses/dpRequestGetRecord.js,confirmed,core,2019-02-12 21:47:17,dev
11326,systemClasses/smartFormType.js,confirmed,core,2019-02-12 21:47:24,dev
11327,systemClasses/sqlSearchStatementBuilder.js,confirmed,core,2019-02-12 21:47:25,dev
11328,systemControllers/controller.js,confirmed,core,2019-02-12 21:47:28,dev
11329,systemControllers/controllerCreateClass.js,confirmed,core,2019-02-12 21:47:36,dev
11330,systemControllers/controllerBatchImport.js,confirmed,core,2019-02-12 21:47:29,dev
11331,systemClasses/unitTester.js,confirmed,core,2019-02-12 21:47:25,dev
11332,systemControllers/controllerCreateItemType.js,confirmed,core,2019-02-12 21:47:36,dev
11333,systemControllers/controllerDeletePage.js,confirmed,core,2019-02-12 21:47:38,dev
11334,systemControllers/controllerLogin.js,confirmed,core,2019-02-12 21:47:41,dev
11335,systemControllers/controllerDeleteItemType.js,confirmed,core,2019-02-12 21:47:37,dev
