id,dpnVersionIdCode,idCode,title,kind,displayOrder,description,manualChanges,systemWhenCreated,systemWhoCreated
1,00050,showcaseMarkdown,Showcase: Markdown,newShowcasePage,10,The Showcase Markdown shows how to convert markdown text to HTML and serves as an editor to experiment.,,,
2,00100,batchImport,Batch Import,newFeature,10,"This is a central feature of Datapod which enables you to record items that you want to add to your databse in text files in Datapod format, and then dump it all into the database at once by going to the Batch Import page and pasting the text into the box. You are able to review each item before you import it individually, or you can import them all at once. To get the Datapod syntax for each item type, click on the template text link for that item type.",,2019-03-13 11:53:36,systemUnknown
3,00100,transformationSynchronizer,Transformation Synchronizer Page Type,newPageType,25,This page type was added to allow you to easily create a new page which allows the user to type text and have it converted and displayed immediately as one types.,,2019-03-13 13:17:27,systemUnknown
4,00100,qfilRemoveLineWithText,qfil.RemoveLineWithText,newHelperFunction,40,"Enables you to e.g. remove a specific line in a code file (usually a library reference), so that you can dynamically change the code of your site while developing. Note that if you need more fine-grained control of changing code in files, use the `DynamicPage` class, e.g. `dynamicPage.changeMarkerLineAndSave('configDeveloping', ""return false;"");`",,2019-03-13 14:02:32,systemUnknown
5,00100,textChunkDocumentClass,TextChunkDocument class,newClass,28,"This class allows you to parse a text document, collecting each text block in a `TextChunk` class which contains a collection of lines. This serves as pre-parsing for my Datapod item parsing, for example. Note that you can have multi-line lines with the `[[` and `]]` markers, as well as maintain tab-indentiing in multi-line lines. To try this class out live, see the `Showcase: TextChunkDocument`.",,2019-03-13 15:08:20,systemUnknown
6,00100,datapodQueryLanguage,Datapod Query Language (DQL),newFeature,23,"You can now access the database with basic DQL commands by using the `fetch` methods of the `dpod` class, e.g. `dpod.fetchItem('pageItem where idCode = home', function (item) {...});`. The returned item is not just a record but a full object from the e.g. `pageItem` class with all its methods and inherited methods from `item`. This makes it very easy to quickly get a rich item out of the database. Currently the `dpod` class has `fetchItem()`, `fetchItems()` and `deleteItem()`. See the `Showcase: DQL` page and its controller code to experiment with and learn more about these functions. The idea is that `Database Query Language` will become a data abstraction language that will be able to talk to multiple and various kinds of data sources, currently the sqlite database, but in the future other SQL databases such as MySQL and PostgreSQL, but also text files (in Datapod Text Format), Excel files, XML files, CSV files, as well as external web services, REST points, and cloud-based data sources, all with the same simple syntax.",,2019-03-13 15:52:17,systemUnknown
9,00110,createItemTypeManagePage,Create Item Type Now Creates Manage Items Page,newFeature,5,"`Create Item Type` now creates a page which allows the user to edit, add, copy, and delete items.",,2019-03-19 16:41:29,systemUnknown
10,00110,deleteItemTypeListNow,Delete Item Type Page Displays List,enhancement,150,The `Delete Item Type` page now lists item types in a dropdown to choose from.,,2019-03-19 16:09:54,systemUnknown
11,00110,pageFlickerLogin,Page Flicker on Login Page Removed,bugFix,200,"When logging in, you no longer experience a page flicker before being redirected to the default page.",,2019-03-19 16:28:57,systemUnknown
12,00110,screenResizeEvent,Viewport Resize Event,newFeature,70,"In the `Showcase: JavaScript Sorting`, you will now find a Vue.js implementation of how a page can change based on size of the viewport, i.e. where elements are positioned, etc. The Vue.js `app` object has a `viewport` property which tracks `height`, `width` and `device` which you can use in your Vue.js to respond to the change in size of the viewport. The two values of `viewport.device` are `computer` and `smartphone` which is a simple way to e.g. add more information on bigger screens (computer) and minimal information on smaller screens (smartphone).",,2019-03-19 16:49:49,systemUnknown
