id,category,title,rank,body,extras,systemWhenCreated,systemWhoCreated
5,Vue.js,Set up a Vue CLI project with complete tooling,4.47,"- start here: https://cli.vuejs.org
- virtual machine
	- install node: https://nodejs.org/en/download/
	- make directory `vuecli`
	- git bash here
	- `npm install -g @vue/cli`
		- it apparently installed but created no files in the directory
		- but confirmed with `vue --version`
			- 3.10.0
	- install global addon 
		- `npm install -g @vue/cli-service-global`
	- make `App.vue`
		--------------
		<template>
		  <h1>Hello!</h1>
		</template>
		--------------
	- `vue serve`
		- in browser: `http://localhost:8080` and it works
	- `vue build` created a `dist` folder but the .html page didn't work
- new directory `vue2`
	- `vue create hello-world`
	- note: arrow key selection doesn't work with git-to-bash, but with Explorer command line
		- dart-sass vs node-sass 
			- use dart-sass, since being done in pure javascript, it works way better than node sass for cross-platform compability
		- I saved as preset
			- you can then after than in your e.g. `webs` directory type `vue create -p typescript
	- created a folder called `hello-world`
	- installed vscode: https://code.visualstudio.com
	- you can also use `vue ui` for  gui install
	- ran `npm run build` which created a `dist` directory
	- installed `npm install -g serve`
		- then `serve -s dist`
		- went to `http://localhost:5000`
	- making changes
		- changed App.vue line 4:
			-----------------
			 <HelloWorld msg=""This is the application.""/>
			-----------------
		- `npm run build`
		- `serve -s dist`
		- so know it's changed, but that is a lot to do to make one change
- )) get more background on how the application works with [this video](https://www.vuemastery.com/courses/real-world-vue-js/optimizing-your-editor)",$place=hm,2019-07-22 11:39:10,systemUnknown
6,GitLab,Setup Gitlab with basic project flow,4.0,- )) start with [this tutorial](https://docs.gitlab.com/ee/gitlab-basics/),,2019-07-22 11:39:10,systemUnknown
8,Node.js,Try out Sails.js,4.2,- )) start with this [video tutorial](https://www.youtube.com/watch?v=C43gU8G_V8Q),$place=hm,2019-07-22 11:42:21,systemUnknown
9,CSS,Explore most useful CSS3 features,4.1,- work this [this tutorial](https://tutorialzine.com/2013/10/12-awesome-css3-features-you-can-finally-use),,2019-07-22 11:42:21,systemUnknown
11,Graphic editor,Try out Krita,2.9,,,2019-07-22 11:42:21,systemUnknown
12,Coffeescript,Make a website with Coffeescript,3.7,,,2019-07-22 11:42:21,systemUnknown
13,JavaScript,Get examples going of JavaScript observables,3.1,"- what are the differences between observables and promises
	- a promise resolves to a single value asynchronously, an observable resolves to (or emits) multiple values asynchronously (over time)
	- concrete examples: 
		- promise = response from an Ajax call
		- observable = a click event
	- observables are a representation for a possibly infinite amount of values
	- promises are designed to represent AJAX calls
		- observables are designed to represent anything: events, data from databases, data from ajax calls
	- a promise is often a good choice when you want to fetch a single chunk of data
	- if your component gets data with only one request it's a good choice to use Promise but if it has a chain of request-cancel-new request you should use observable
	- observables provide many values, promises provide one
	- ES6 added built-in support for promises to JavaScript
		- observables were 2017 ECMA proposal that wasn't adopted
	- to use promises, use the RxJA library: http://reactivex.io
		- )) work through this [Functional Programming in Javascript Tutorial](http://reactivex.io/learnrx)",,2019-07-22 11:42:21,systemUnknown
14,JavaScript,Get numerous examples of map() working,3.6,"- working through this article: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map
- working through: https://medium.com/poka-techblog/simplify-your-javascript-use-map-reduce-and-filter-bd02c593cc2d
- in Datapod, made **Showcase: ES6 map(), filter(), reduce(), find() functions**
	----------------------
	messages.push(`Numbers are ${numbers.join(', ')}.`);
	messages.push(`Doubles are ${doubles.join(', ')}.`);
	messages.push(`Descriptions are ${descriptions.join(', ')}.`);
	messages.push(`All customer IDs: ${this.getCustomers().map(m => m.customerID).join(', ')}.`);

	// map() to search in spectific property
	messages.push(`New customer objects with ""the"" in the name: ` + JSON.stringify(this.getCustomers().map(m => { return 
{ id: m.customerID, name: m.companyName }; }).filter(m => m.name.toLowerCase().includes('the'))));

	// map/filter with a format function
	messages.push(`Product prices: ${this.getProducts().map(m => qmat.formatMoney(m.unitPrice)).join(', ')}.`);

	// reduce() to find total
	messages.push(`Total price: ${qmat.formatMoney(this.getProducts().reduce((total, m) => { return total + m.unitPrice }, 0))}.`);

	// reduce() to find the most expensive
	messages.push(`Most expensive product is: ${JSON.stringify(this.getProducts().reduce((mostExpensive, m) => 
{ return mostExpensive.unitPrice > m.unitPrice ? mostExpensive : m }, {}))}.`);

	// find() to find a unique record
	const record = this.getProducts().find(m => m.productID == 8);
	messages.push(`Unique Record: ${record ? record.name : '(not found)'}`);
	----------------------
- )) redo above examples with more variation and make into a howto",,2019-07-22 11:42:21,systemUnknown
16,Gimp,Learn 10 useful skills in Gimp,4.2,"- )) start with [this video tutorial](https://www.youtube.com/watch?v=IeABb8cwdUg)
- make 10 howtos for doing using things in Gimp",$place=hm,2019-07-22 11:42:21,systemUnknown
17,web development,"find and collect ten best tools for front-end development, e.g. color selectors, pixie, etc.",3.9,,,2019-07-22 11:42:21,systemUnknown
