id,title,body,extras,systemWhenCreated,systemWhoCreated
1,STRATO33 backup Fehler,"- Error: String not found [E:\StratoBackup\ZUGFERD#Daily_DIN-ZUGFeRD : OK] 
- Cobian nachschauen
	- `cbService.exe` = 1.314.916
	- `cbVSCService11.exe` = 22.400
- x 2019-04-08 schaue wieviel RAM die cb-Services noch verwenden
- 2019-04-08 Backup ist wieder grün",$finished=2019-04-05 15:00:00 - 2019-04-05 16:00:00,2019-05-15 09:01:52,systemUnknown
2,Accounts von den zwei HiSolutions Sicherheitsprüfer löschen,"- x schaue, ob die Accounts immer noch existieren
	- x auf Server AD-01.gefegmbh.local als admint mit RDP einloggen
		- [login bei ActiveDirectory](gfhowtos?id=31)
		- ja, die accounts sind noch da:
			- Oliver Schill - Nord
			- Oliver Schill - Süd
			- Vincent Rockenfeld - Nord
			- Vincent Rockenfeld - Süd
	- x und adminh account
		- ist auch da aber im root Verzeichnis von `Users`
- x frage Thomas wann wir diese Accounts löschen sollen
	------------------------------
	bitte gib mir Bescheid, wann ich folgende Windows-Accounts löschen kann:

	- Oliver Schill - Nord
	- Oliver Schill - Süd
	- Vincent Rockenfeld - Nord
	- Vincent Rockenfeld – Süd
	- adminh
	------------------------------
- von Thomas:
	-----------------------------
	Am Montag, den 13.5., heute laufen noch Tests. 
	-----------------------------
- 2019-05-13 nach Absprache mit Thomas, Accounts löschen, Tests sollen bis dann fertig sein
	- wir können die Accounts löschen
- x Accounts gelöscht",$worked=2019-05-10 08:30 - 2019-05-10 09:00;$finished=2019-05-14 12:30 - 2019-05-10 13:30,2019-05-14 13:24:17,systemUnknown
3,CPU-Last Problem am Youtrack untersuchen,"- appserver02
	- Fehler kam um 2019-05-02 11:15:00
	- 10:13-10:45 über 20 Systemfehler:
		---------------------------------------
		Eine TLS 1.2-Verbindungsanforderung wurde von einer Remoteclientanwendung empfangen, aber 
		keine der Verschlüsselungssammlungen, die von der Clientanwendung unterstützt werden, wird 
vom Server unterstützt. Fehler bei der TLS-Verbindungsanforderung.
		---------------------------------------
	- es kam nicht vom appserver02, sondern vom YouTrack
- YouTrack untersuchen
	- Rechner finden
		- es ist der **Tracker Server** unter dem zweiten Server für virtuellen Machinen
	- x Sebastian fragen
		-------------------------------------
		gegen 11:15 gab es auf dem YouTrack Server (192.168.30.104) Probleme mit 
		niedrigen Speicherkapazität. Ich möchte dieses aber ich sehe, dass du im Moment 
		dort angemeldet bist. Untersuchst du dieses Problem momentan oder kann ich 
		auf dem Rechner?		
		-------------------------------------
	- Antwort
		-------------------
		Da war noch eine Sitzung von mir offen, weil ich Windows-Update vor, was weiß ich 
		wievielen Tagen eingespielt habe. Jetzt habe ich beim Tracker-Server auf Neustart geklickt. 
		Der wird wohl eine Weile brauchen bis er wieder hochgefahren ist.
		Dann kannst du gerne rauf und kannst auch gerne die restlichen Windows-Updates installieren.		
		-------------------
	- x Updates installieren 
	- x Problem untersuchen
		- schwerwiegende Warnung##errorSchwerwiegend222
	- Ergebnis: YouTrack hat wahrscheinlich gecrashed aus irgendeinem Grund, geforscht:
		- Zertifikatsproblem 
		- ein korruptes Zertifikat ",$finished=2019-05-02 13:00:00 - 2019-05-02 17:00:00,2019-05-14 10:13:26,systemUnknown
4,Third Party Komponenten aktualisieren,"- x hinzufügen
	- FOP
	- Saxon-HE
	- IKVM",$finished=2019-05-03 08:30 - 2019-05-03 09:30; $worked=2018-05-03 08:30 - 2018-05-03 09:30,2019-05-03 15:04:48,systemUnknown
9,Account von Marcos Krucken löschen,"- mit Thomas
- Exchange Oberfläche
	- https://exc-01.gefegmbh.local/ecp
- die Schritte in der Checkliste der Reihe nach erledigen",$finished=2019-05-06 15:00 - 2019-05-06 16:00,2019-05-06 16:55:38,systemUnknown
11,Jour GEFEG,"- die allgemeine Agenda zum Jour GEFEG Meetings sind here: `I:\BW\Meetings\Jour GEFEG`
- x ask:michaela,thomas: wo sind diese Belehrungen, die wir Unterschreiben im Netzwerk",$finished=2019-05-06 10:00 - 2019-05-06 10:30,2019-05-08 16:39:18,systemUnknown
12,Serverraum Verwaltung,"- x Ruheraum Netzwerk wieder in Ordnung gebracht
- x Serverschränke organisiert
- x Beschriftung von Box für USV, frag Thomas",$worked=2019-05-06 08:30 - 2019-05-06 10:00; $finished=2019-05-06 10:30 - 2019-05-06 12:00,2019-05-06 15:59:21,systemUnknown
13,Neues Image für den Schulungsrechner 300 erstellen,"- soll auch der originale Rechner vom Marcos eine Schulungsrechner werden?
- Mail an Melitta
	------------------
	wollen wir eine Zeit diese Woche ausmachen, wann wir folgende Aufgaben machen:
	1. Neues Image für den Schulungsrechner 300 erstellen
	2. Neuen Rechner mit VPN testen
	------------------
- warte bis Mellita mit dem Schulungsrechner 300 fertig ist
",$finished=2019-05-16 08:30 - 2019-05-16 09:00,2019-05-16 09:19:56,systemUnknown
14,Schulungsrechner für Mittwoch 08.05. vorbereiten,"- ask: Tayfun, wieviele Rechner
- Schulungsrechner identifizieren
	- PC274
		- x zurücksetzen
	- PC286
		- x zurücksetzen
	- PC300
		- x mit Tayfun zurücksetzen",$worked=2019-05-06 12:00 - 2019-05-06 15:00; $finished=2019-05-06 16:00 - 2019-05-06 17:00,2019-05-16 09:51:53,systemUnknown
15,Dritte Schulungsrecher für Tayfun zurückgesetzt für die Schulung,"- für den Rechner 300, folgendes soll gelöscht werden
	- Dokument verzeichnis
	- Manager im FX
	- Dateien im Papierkorb",$finished=2019-05-07 08:30 - 2019-05-07 10:00,2019-05-07 09:53:43,systemUnknown
