id,category,title,body,points,extras,systemWhenCreated,systemWhoCreated
1,DPN,How to send a variable from controller to front end,"	- in controller:
		---------------------
		that.responseData.firstName = 'nnn';
		---------------------
	- in page:
		---------------------
		that.firstName = response.data.firstName;
		---------------------",10,$rank=3.5,2019-05-13 14:16:01,systemUnknown
3,CSS,How to style all but the first in a series of elements,"- you have this list of items:
	-------------------------
	<div class=""infoArea"">
		<div class=""info"">
			<div class=""title"">First Title</div>
			<div class=""content"">This is the first content.</div>
		</div>
		<div class=""info"">
			<div class=""title"">Second Title</div>
			<div class=""content"">This is the second content.</div>
		</div>
		<div class=""info"">
			<div class=""title"">Third Title</div>
			<div class=""content"">This is the third content.</div>
		</div>
	</div>		
	-------------------------
- you style it with this to separate it
	-------------------------------
	.outputArea div.codeChunk .title {
		margin-top: 10px;
	}		
	-------------------------------
- PROBLEM: you want to not have the leading space in front of the first item
- SOLUTION: add `:not(:first-child)` to the 
	-------------------------------
	.outputArea div.codeChunk:not(:first-child) .title {
		margin-top: 10px;
	}		
	-------------------------------",20,$jsfiddle=a75uwjcp; $rank=4.5,2019-04-20 14:36:14,systemUnknown
4,JavaScript,How to get parts of an array out of an array,"- you have: 
	---------------------------------
	const elements = [
		{ id: 20, name: 'element 1' },
		{ id: 23, name: 'element 2' },
		{ id: 12, name: 'element 3' },
		{ id: 4, name: 'element 4' },
	];	
	---------------------------------
- you need: [20,23,12,4] 
- use .map like this:
	-----------------------------------
	const ids = elements.map(item => item.id);
	const names = elements.map(item => item.name);
	console.log(ids);
	console.log(names);	
	-----------------------------------",20,,2019-04-20 14:36:14,systemUnknown
5,vuejs,Basic Vue.js page to display a variable from code and a button that changes that variable,"- HTML
	-----------------------------------
	<!DOCTYPE html>

	<head>
		<script src=""https://cdnjs.cloudflare.com/ajax/libs/vue/2.1.4/vue.js""></script>
		<title>test</title>
		<style>
			.information {
				color: orange;
			}
		</style>
	</head>

	<body>
		<div id=""app"">
			<div class=""information"">{{message}}</div>
			<button @click=""changeTheText"">Change the Text</button>
		</div>

		<script>
			const app = new Vue({
				el: ""#app"",
				data: {
					message: ''
				},
				methods: {
					initialize: function () {
						this.message = 'test';
					},
					changeTheText: function () {
						this.message = 'you clicked the button';
					}
				}
			})
			app.initialize();
		</script>
	</body>

	</html>
	-------------------",50,$jsfiddle=hpcnq1b6,2019-04-20 17:04:43,systemUnknown
6,JavaScript,Code to purposely crash a node app (e.g. if you want to test `forever`) ,"- add this code to where you want the code to stop
	--------------------------------
	setTimeout(function () {
		  throw new Error('We crashed!!!!!');
	}, 10);    
	--------------------------------
- for extra credit:
	- experiment with `setTimeout`
	- experiment with `setInterval`",5,$excludeFromLearnBits,2019-04-27 18:19:24,systemUnknown
7,DPN,How to make icon on Windows to start Datapod for Node,"- make directory: c:\edward\start
	- create file: `start_n49902_dpnp.bat`
		---------------------------------------
		cd C:\edward\nodewebs\n49902_dpnp
		nodemon server.js      
		(or this: forever start -c nodemon server.js)  
		---------------------------------------
	- right-click bat file: create shortcut
		- rename shortcut to `start_n49902_dpnp`
	- right-click shortcut: properties 
		- change icon (1 to right, blue screen)
		- type `explorer ` in front of path in `target`
		- `OK` (enter)
	- drag shortcut to task bar
- click on icon in taskbar
	- click on C:\ icon (upper-left) and properties
	- opacity 80%
	- font size: 12
- minimize
- now when you want to run other CMD windows, right-click, right-click, open
- trouble shooting:
	- you get the error ""nodemon command is not recognized""
		- this is because it was not able to be installed globally
		- so change the above .bat file to:
			---------------------------------------
			cd c:\edward\dpn
			node_modules\.bin\nodemon server.js      
			---------------------------------------",20,,2019-04-20 14:54:11,systemUnknown
9,JavaScript,How to iterate through items in an array and through properties in an object,"- you want to iterate through an array like this: 
	----------------
	const colors = ['red','blue','green'];
	----------------
- or an array like this:
	----------------
	const users = [
 		{
			id : 232,
			login: 'jim',
			firstName : 'Jim',
			lastName : 'Jones'
		},
 		{
			id : 325,
			login: 'angie',
			firstName : 'Angie',
			lastName : 'Axelton'
		},
 		{
			id : 634,
			login: 'joan',
			firstName : 'Joan',
			lastName : 'Jambler'
		}
	];
	----------------
- and you want to iterate through the properties of an object like this:
	----------------
	const users = {
		jim : {
			id : 232,
			firstName : 'Jim',
			lastName : 'Jones'
		},
		angie : {
			id : 325,
			firstName : 'Angie',
			lastName : 'Axelton'
		},
		joan : {
			id : 634,
			firstName : 'Joan',
			lastName : 'Jambler'
		}
	};
	----------------
- for arrays, generally use `for ... of`
	--------------------
	for(const color of colors) {
		console.log(color);
	}
	--------------------
- also for arrays, if you need the index, you can also use `for ... in`
	--------------------
	for(const key in colors) {
		console.log(`${key} = ${colors[key]}`);
	}
	--------------------
- for objects, only use `for ... in` so that you can get the key as long as the value
	--------------------
	for(const key in users) {
		const user = users[key];
		user.login = key; // if you are passing the object to the front in, you often want to put the key in the object as a property
		console.log(user);
	}	
	--------------------
- note: if you try to use `for ... of` on an object, you will get the error `users is not iterable`",40,,2019-04-20 14:55:18,systemUnknown
10,vscode,How to set up a macro ,"- this shows you how to set up a macroconsole.log debug macro
- `File > Preferences > User Snippets`
- select `javascript.json`
- add the following text:
	----------------------------
	""debug variable"": {
		""prefix"": ""c"",
		""body"": ""console.log('$1: ' + $2);""
	}
	----------------------------
- in a javascript file, press `cc` and then `TAB`",30,,2019-04-20 14:54:11,systemUnknown
11,vscode,How to compare two files,"- this shows you how to diff two files in Visual Studio Code
- right-click on file name in outline, and choose `Select for Compare`
- right-click another file in outline, and choose `Compare with Selected`	",10,$rank=4.8,2019-04-20 14:58:21,systemUnknown
12,CSS,How to style all but the first in a list,"	- the HTML
		-------------------------
		<div class=""infoArea"">
			<div class=""info"">
				<div class=""title"">First Title</div>
				<div class=""content"">This is the first content.</div>
			</div>
			<div class=""info"">
				<div class=""title"">Second Title</div>
				<div class=""content"">This is the second content.</div>
			</div>
			<div class=""info"">
				<div class=""title"">Third Title</div>
				<div class=""content"">This is the third content.</div>
			</div>
		</div>		
		-------------------------
	- the style
		-------------------------------
		.outputArea div.codeChunk:not(:first-child) .title {
			margin-top: 10px;
		}		
		-------------------------------",20,,2019-04-20 14:58:21,systemUnknown
