id,idCode,menu,title,description,kind,subsite,type,accessGroups,displayOrder,holdMenu,systemWhenCreated,systemWhoCreated
8,home,main,Home,,system,core,html,"loggedInUsers,loggedOutUsers",10,main,,
9,showcaseBaseTechnologies,hide,Showcase: Base Technologies,,system,core,html,developers,20,hide,,
10,login,hide,Login,,system,core,html,loggedOutUsers,999,hide,,
11,showcaseDataLoading,developerShowcase,Showcase: Data Loading,,system,core,html,developers,30,developerShowcase,,
83,showcaseBootbox,developerShowcase,Showcase: Bootbox,,system,core,html,developers,100,developerShowcase,,
92,thirdPartyTools4,SWITCHED,Third Party Tools 4.x,,system,gf,vuejs,developers,110,submain,,
137,deletePage,developerMain,Delete Page,,system,core,vuejs,developers,110,developerMain,,
165,showcaseFormAndAjaxControls,developerShowcase,Showcase: Form And Ajax Controls,,system,core,vuejs,developers,100,developerShowcase,,
166,showcaseJavaScriptSorting,developerShowcase,Showcase: JavaScript Sorting,,system,core,vuejs,developers,100,developerShowcase,,
203,createPage,developerMain,Create Page,,system,core,,developers,100,developerMain,,
268,showcaseTextParser,developerShowcase,Showcase: Text Parser,,system,core,,developers,100,developerShowcase,,
273,createClass,developerMain,Create Class,,system,core,,developers,140,developerMain,,
286,showcaseFormToEditDatabase,developerShowcase,Showcase: Form to Edit Database,,system,core,,developers,100,developerShowcase,,
288,showcaseParseItemTypeDefinitionBlock,developerShowcase,Showcase: Parse Item Type Definition Block,,system,core,,developers,100,developerShowcase,,
290,showcaseFormCodeBlocks,developerShowcase,Showcase: Form Code Blocks,,system,core,,developers,100,developerShowcase,,
323,logout,loginArea,Logout,,system,core,,loggedInUsers,35,loginArea,,
326,quarterReport,SWITCHED,Quarter Report,,system,gf,,developers,122,submain,,
329,thirdPartyTools3,SWITCHED,Third Party Tools 3.x,,system,gf,,developers,90,submain,,
331,showcaseCreatePdf,developerShowcase,Showcase: Create PDF,,system,core,,developers,100,developerShowcase,,
333,showcaseCreatePdfReport,developerShowcase,Showcase: Create Pdf Report,,system,core,,developers,100,developerShowcase,,
337,showcaseReadXmlFile,developerShowcase,Showcase: Read XML File,,system,core,,developers,100,developerShowcase,,
343,createItemType,developerMain,Create Item Type,,system,core,,developers,120,developerMain,,
344,showcaseDpDataLoader,developerShowcase,Showcase: DpDataLoader,,system,core,,developers,100,developerShowcase,,
