id,category,title,body,rank,extras,systemWhenCreated,systemWhoCreated
1,newFeature,Enable Batch Import to import Item Type Definition Blocks as well,- so that you can paste in ItemType Definition Block along with data and ItemType will be created and data added,2.7,,2019-08-14 10:46:15,systemUnknown
2,newPage,Create User,- convert the password via MD5,4.6,,2019-08-14 10:46:15,systemUnknown
3,newShowcase,Dynamic texts,"- remove SystemTexts	
- replace it with ItemType Dynamic Texts
- has accessGroups and so shows an edit button only for those in that accessGroup
- make an example of a number of texts ",3.4,$idCode=showcaseDynamicText,2019-08-14 10:48:46,systemUnknown
4,newCreatePage,Editable Markdown Page,"- specificy accessGroups
- anyone in that group can edit the full text on that page in markdown",3.2,$dependsOn=showcaseDynamicText,2019-08-14 10:48:48,systemUnknown
5,newFeature,Make user signup process,"Include confirming e-mail, etc.",3.1,,2019-08-14 10:48:49,systemUnknown
6,newCreatePage,Editable Outline Page,"- specificy accessGroups
- anyone in that group can edit the full text on that page in markdown",3.0,$dependsOn=showcaseDynamicText,2019-08-14 10:48:51,systemUnknown
7,newFeature,Import/Export Downloadable Pages,"- enable Pages to be exported as .zip files
- when you download them and put them in the `systemImport` folder, they are automatically imported at next page load (when in developing mode)",2.9,,2019-08-14 10:48:51,systemUnknown
8,newCreatePage,Editable Markdown Page,"- specificy accessGroups
- anyone in that group can edit the full text on that page in markdown",3.7,$dependsOn=showcaseDynamicText,2019-08-14 10:48:51,systemUnknown
10,newFeature,Import/Export Downloadable DataTypes,"- enable DataTypes to be exported as .zip files
- when you download them and put them in the `systemImport` folder, they are automatically imported at next page load (when in developing mode)",2.9,,2019-08-14 10:48:51,systemUnknown
11,newFeature,Manage ItemType Page Panel,"- make a panel that allows various actions to be executed on ItemTypes, e.g.
	- based on what items are showing (based on search, or all)
		- export to Datapod Item Transfer file
			- has Item Type Definition Block 
			- on import, ItemType will be created if not present
		- export to Excel sheet
		- copy to clipboard (or for copy and paste) as Datapod Item Editing Text
		- export as XML
		- export as JSON
		- export as CVS
		- create Display <itemType> Page
		- fill with dummy data
			- add SystemExtras to track that this is dummy data so it is not displayed, and can easily be deleted, even when other data is in the database table
		- add field
		- delete field",3.0,,2019-08-14 11:05:39,systemUnknown
12,newShowcase,System Extras,"- build this in Showcase: Extras
- make Extras DataType
- make this a System field called System Extras so it is on every Item Type
- make ""itemExtras"" convert to ""Item Extras;extras""
- make easy Item level functions to save and get data from Extras
- enable extras to be converted into full fields",2.8,,2019-08-14 11:05:39,systemUnknown
13,newPage,Code Explorer,"- gives search box, searches through all code in site
- update button to reread code into database
- filters: [x] Quick Tools, [x] Method names, [x] comments",1.9,,2019-08-14 11:05:39,systemUnknown
14,newFeature,Highlighted Search,"- on ItemType Display Page, add a regex search-and-replace so that text searched is highlighted",1.3,,2019-08-14 11:10:22,systemUnknown
