id,genericTermIdCode,title,body,extras,systemWhenCreated,systemWhoCreated
1,Mobile Framework,React Native,"- an open-source mobile application framework created by Facebook, used to develop applications for Android, iOS and UWP by enabling developers to use React along with native platform capabilities
- React Native lets you build mobile apps using only JavaScript
- you don't have to build the same application for iOS and Android, separately as React Native allows your developers to reuse the common logic layer
- the working principles of React Native are virtually identical to React except that React Native does not manipulate the DOM via the Virtual DOM. It runs in a background process (which interprets the JavaScript written by the developers) directly on the end-device and communicates with the native platform via a serialisation, asynchronous and batched Bridge",$rank=4.1;$quick=a popular JavaScript framework for building mobile apps;$todo=worth learning,2019-05-20 15:04:44,systemUnknown
2,JavaScript Framework,React,"- developed 2013 by Facebook
- a JavaScript library for building user interfaces
- is not a complete application framework like Angular, it is just a view layer
- React itself is not a framework, you need to add extra stuff to make it shine
- React by itself doesn’t do all the pieces, instead, it intends to be bolted onto an existing stack
- **React abstracts away the DOM from you, giving a simpler programming model and better performance**
- learn React Router
- versions
	- 15.0.0 - April 2016
	- 16.0.0 - September 2017
	- 16.8 - February 2019 - Hooks
	- 16.13 - February 2020
	- 17 - Sep or Oct 2020
- tools
	- https://codesandbox.io
- [MERN](https://codingthesmartway.com/the-mern-stack-tutorial-building-a-react-crud-application-from-start-to-finish-part-1/)
	- 
- concepts
	- React Suspense
		- lazy loading components is the only use case supported by React.Suspense
	- Time Slicing
		- the most awaited feature in version 17
			- expected to hugely improve performance and demand little attention on the development side
			- slices the computations of updates for children components during the callback, therefore their rendering can be spread over time
		- React Suspense and Time Slicing are about optimizing heavy workloads for slow devices
		- React 17 along with Time Slice and Suspense API
	- concurrent mode
		- a change in how React schedules updates to your UI
	- React Async
		- You can find it as react-async on npm.
		- React Async uses the React Context API to pass data down to the helper components
	- [React Fire](https://github.com/facebook/react/issues/13525)
		- an effort to modernize React DOM
		- many of the polyfills in React are unnecessary for modern browsers, and some of them create more issues than they solve
		- to make React better aligned with how the DOM works
		- at this stage, the project is very exploratory
- Redux
	- ""I’ve been a fan of Redux in the past mostly for its functional style, it tends to be too much for your average application. It’s a steep learning curve and quite a bit of boilerplate, but most of all it distances the data fetching from the data presentation. I like to keep things simple, so I went back to the basics: **local setState**.""
		- common place to perform data fetching in a React component is in the componentDidMount lifecycle method. Just run fetch and use setState to store the result
	- Redux Thunk 
		- a middleware that lets you call action creators that return a function instead of an action object. That function receives the store's dispatch method, which is then used to dispatch regular synchronous actions inside the body of the function once the asynchronous operations have completed.19 juin 2018
- [React Frameworks](https://coffeencoding.com/cra-vs-next-js-vs-gatsby)
	- [CRA](https://create-react-app.dev/docs/getting-started/)
	- [Next.js](https://nextjs.org/)	
		- a minimalistic framework for server-rendered React applications
		- server side rendering just keeps getting better and better
		- instead of PHP, we build the app with JavaScript and React
		- Webpack-based dev environment
		- create-react-app can be classified as a tool in the ""Javascript UI Libraries"" category, while Next.js is grouped under ""Frameworks (Full Stack)""
	- [Gatsby](https://www.gatsbyjs.org/)
		- free and open source framework based on React that helps developers build blazing fast websites and apps
- [Storybook for React](https://storybook.js.org/docs/guides/guide-react/)
	- a user interface development environment and playground for UI components
	- enables developers to create components independently and showcase components interactively in an isolated development environment
	- runs outside of the main app so users can develop UI components in isolation without worrying about app specific dependencies and requirements
- [Docz](https://www.docz.site/)
	- powered by Gatsby since version 2
	- MDX is Markdown + JSX, it brings the world of components to Markdown. MDX makes it possible to import and use your components in Markdown-style files
	- Docz provides native TypeScript support for TSX components
- [Emotion](https://emotion.sh/docs/introduction)
	- a CSS library designed for writing css styles with JavaScript
- [styled-components](https://styled-components.com/docs/basics)
	- enhanced CSS for styling React component systems
- [Mobx](https://mobx.js.org/)
	- simpler than Redux
	- use Redux for more complex applications",$rank=4.93;$quick=currently the most popular front-end JavaScript framework along with Vue and Angular;$todo=definitely learn this,2019-05-22 16:45:55,systemUnknown
3,Programming Concept,dependency injection,"- dependency injection is a technique whereby one object supplies the dependencies for another object
- makes testing easy since you can send in completely mocked databases and other resources",$rank=3.2;$quick=an advanced programming concept but necessary in complex applications;$todo=learn eventually,2019-05-20 14:42:56,systemUnknown
4,Programming LanguageProgramming Language,Rust,"- 2010 created
- syntactically similar to C++ but is designed to provide better memory safety while maintaining high performance
- originally designed by Graydon Hoare at Mozilla Research
- compiler is free and open-source 
- was the ""most loved programming language"" in the Stack Overflow Developer Survey for 2016, 2017, 2018, and 2019
- intended to be a language for highly concurrent and highly safe systems, and programming in the large, that is, creating and maintaining boundaries that preserve large-system integrity",$rank=2.1;$quick=a newer lower-level language like C++ with better memory safety;$todo=popular but not interesting for front-end developers,2019-05-20 15:12:35,systemUnknown
5,Programming LanguageProgramming Language,Python,"- easy to learn, popular language popular with **data scientists, mathematicians, statisticians**
- versions	
	- 1994: Python 1.0
	- 2000: Python 2.0
	- 2008: Python 3.0
	- Oct 2019: Python 3.8
	- May 2020: Python 3.9
- [fourth most popular technology](https://insights.stackoverflow.com/survey/2019#technology)
- 2019: Python is the most wanted language for the third year in a row
- created by Guido van Rossum and first released in 1991
- emphasizes code readability with its notable use of significant whitespace
- described as a ""batteries-included language"" due to its comprehensive standard library
- uses whitespace indentation, rather than curly brackets or keywords
- example of Python in Visual Studio Code, notice the lack of curly brackets and the indentation##pythonInVscode
- four-minute video of Guido van Rossum talking about how he created Python@@J0Aq44Pze-w",$rank=4.3;quick=an older but pragmatic language and increasingly popular today used widely by scientists and mathematicians;$todo=easy to learn and worth it,2019-05-24 15:45:25,systemUnknown
7,Programming LanguageProgramming Language,Kotlin,"- a language designed to **interoperate fully with Java** and improve on it
- type inference allows its syntax to be more concise
- since May 2019, Kotlin is Google's **preferred language for Android** app development
- mainly targets the JVM, but **also compiles to JavaScript**
- sponsored by **JetBrains and Google** through the Kotlin Foundation.",$rank=2.1;$quick=Google's new Java language;$todo=not that interesting for front-end development,2019-05-20 15:14:53,systemUnknown
8,Revision Control System,SVN,"- 2000, a software versioning and revision control system, popular but being replaced by Git
- now a top-level Apache project
- CollabNet founded the Subversion project in 2000",$rank=3.7;$quick=the second most popular revision control system behind Git;$todo=easy and worth learning,2019-05-20 15:00:17,systemUnknown
9,Container Platform,Kubernetes,"- **2015**, an open-source container orchestration system for automating application deployment, scaling, and management, works with e.g. Docker
- **originally designed by Google**, and is now maintained by the Cloud Native Computing Foundation
- works with a range of container tools, including Docker
- Rancher is a good interface too it, makes Kubernetes simpler
- versions
	- 2015 - Version 1.0
	- 2019-03 - Version 1.14
	- 2020-08 - Version 1.19","$rank=2.9;$quick=platform used for large-scale application automation; $todo=learn if you get into cloud deployment and docker, etc.",2019-05-20 15:17:05,systemUnknown
10,Task Runner,Grunt,"- 2012, a JavaScript task runner, a tool used to automatically perform frequent tasks such as minification, compilation, unit testing, and linting.
- written in Node.js","$rank=4.8;$quick=the older of the two task runners Grunt and Gulp;$todo=worth learning, easier than Gulp",2019-05-20 15:31:44,systemUnknown
11,Task Runner,Gulp,"- 2017, a task runner built on Node.js and npm, used for automation of time-consuming and repetitive tasks involved in web development like minification, concatenation, cache busting, unit testing, linting, optimization",$rank=4.7;$quick=the newer of the two popular JavaScript task runners;$todo=has a steeper learning curve than Grunt,2019-05-20 15:31:25,systemUnknown
