id,idCode,title,description,topicList,listStatus,extras,displayOrder,systemWhenCreated,systemWhoCreated
1,databases,Databases,"There are two kinds of databases: **SQL-based** and **NOSQL-based**, SQL being table-based and NOSQL key/document/graph-based. 

**SQL** itself is a standard created in 1974 and has set various standards since, e.g. SQL-92. Every SQL database follows more or less standard SQL for its basic commands, but also has supplemental syntax, features, functions, and idiosyncrasies. **MySQL** is the most popular and universal, **SQL Server** is the database you'll use in .NET projects, **PostgreSQL** is an alternative to MySQL, and **SQLite** is a simple and quite robust file-based database which is used in devices, for testing and for easy portability.

**NoSQL** is a group of databases which store not based on tables as in SQL but as key/values, documents, or graphs. The terms became popular around 2009 when companies needed to store and access extremely large amounts of distributed data. **MongoDB** is the most well known among NoSQL Databases, **Cassandra** is second most popular, created by Facebook and also used by companies such as Twitter for extremely large amounts of data. **Redis** is the most popular key/value store, and **CouchDB** is popular as a JSON data store which uses JavaScript as its query language.

2020 Will Stern: learn databases in the following order: Postgres, Redis, MongoDB, Elasticsearch, and also learn ArangoDB.","sql, mysql, postgresql, sqlserver, sqlite, nosql, mongodb, cassandra, couchdb, redis, memcached, crud, neo4j, elasticsearch, mariaDb, arangoDb",show,$categories=/mem/,30,2019-06-12 11:26:18,systemUnknown
2,operatingSystems,Operating Systems,"There are basically three operating systems that you'll use as a front-end developer today: **Windows**, **Linux** and **macOS** (Apple). 

On Windows, there is a distinction between server and client versions, e.g. it's typical to use **Windows 10** to develop but you upload your code to a **Windows Server 2012**, also it is equally typical to develop on a **macOS** or e.g. **Ubuntu** Linux system.","windows, macos, linux, bsd, ubuntu, debian, linuxMint, unix",show,$categories=/mem/,20,2019-06-12 11:27:27,systemUnknown
3,coreBasics,Core Basics,These are the four absolute basic skills you need as a web developer.,"html5, css3, javascript,sql",show,,10,2019-06-12 14:07:33,systemUnknown
4,javascriptFrameworks,JavaScript Frameworks,"In 2019, there are three leading JavaScript frameworks: **React**, **Angular**, and **Vue.js**. All of the others are more or less useful but are less full-featured and thus are today less popular than these three dominant frameworks. Having deep skills in one of these three is a necessity for any web developer today, and having some experience in all three as well as others is very useful.

**Node.js** and **jQuery** are also very important to learn although they different in kind: Node.js is a backend runtime environment which enables you to create console applications and web servers written in JavaScript, whereas jQuery is also a frontend JavaScript frontend as the others in the section, but it is much older (2006) and while surpassed by the other frameworks, has become ubiquitous in real-world applications and so is important to learn as well.","react, angular, vuejs, node, jquery, ember, meteor, mithril, polymer, aurelia, backbone, knockout",show,$categories=/mem/,15,2019-06-13 15:33:30,systemUnknown
5,programmingLanguages,Programming Languages,"In order to secure employment, if you only learn one language well, learn **JavaScript** (ECMAScript), as you can used it today on the frontend and the backend (Node.js), and after that learn the backend languages **PHP**, **C#**, and **Java**. And if you are doing a lot of JavaScript work, then learn **TypeScript** as well. Everything else you want to learn will be based on a personal choice or specific project requirements.","php, javascript, csharp, java, python, c, cplusplus, go, dart, perl, pascal, lisp, fortran, cobol, rust, typescript, kotlin, python, assembly, webassembly, vba, objectivec, basic, coffeescript, ecmascript, eiffel, fsharp, groovy, haskell, ocaml, r, reason, ruby, rust, scala, smalltalk, tsql, bash, visualbasic, visualbasicnet, xslt, commonlisp, scheme, clojure, erlang, miranda, s, elm, simula, tsql",show,$categories=/mem/,13,2019-06-18 14:14:55,systemUnknown
6,javaLikeLanguages,Java-Like Languages,Java was created in 1995 and influenced many languages which attempted to improve on it.,"java, groovy, csharp, kotlin, scala, clojure",show,,60,2019-06-20 16:04:00,systemUnknown
7,frontendDevelopmentTools,Frontend Development Tools,These are the technologies that have been defining Frontend development since about 2011. It's important to understand what they do and know how to use them seperated and together to set up robust and development environments which increase speed and accuracy of development. [Good article on JavaScript toolchain churn](https://news.ycombinator.com/item?id=12823937),"node, npm, webpack, babel, grunt, gulp, eslint, jest, mocha, jshint, yarn, jake, bower, browserify",show,$categories=/mem/,70,2019-07-11 16:03:46,systemUnknown
8,facebookTechnologies,Facebook Technologies,These are the technologies that Facebook has developed internally and then made available to the development community.,"react, reactNative, jest, flow, graphql, reason, xhp, yarn,cassandra",show,,80,2019-07-12 11:02:55,systemUnknown
9,googleTechnologies,Google Technologies,These are the technologies that Google has developed internally and then made available to the development community.,"angular, kubernetes, polymer, dart, kotlin, materialize, go",show,,100,2019-07-12 13:25:49,systemUnknown
10,productivityTools,Productivity Tools,Useful tools that make work easier,coggle,show,,150,2019-07-12 13:25:49,systemUnknown
