id;category;kind;front;back;extras;pronunciation;memoryHook;memoryStory;rank;labels;status;lastTested;numberOfTimesTested;lastLearned;numberOfTimesLearned;importId;systemWhenCreated;systemWhoCreated
19;linux;command;find out what kind of command a command is, e.g. `ls`;``` `type ls` (outputs e.g. *ls is aliased to 'ls --color=auto'*);;;;;3.38;;learned;2019-08-31 07:08:18;1;2019-08-31 07:08:18;1;findOutWhatKindOfCommandACommandIsEgLs_typeLs;2019-08-30 07:43:16;systemUnknown
20;linux;command;how to find out your shell		;echo $0;;;;;2.5;;learned;2019-08-31 07:13:45;1;2019-08-31 07:13:45;1;howToFindOutYourShell_echo;2019-08-30 07:43:16;systemUnknown
21;linux;command;how to get a detailed list of files in a directory;ll		;;;;;2.84;;learned;2019-08-31 07:08:22;1;2019-08-31 07:08:22;1;howToGetADetailedListOfFilesInADirectory_ll;2019-08-30 07:43:16;systemUnknown
1658;git;command;get back file from staging area to working directory, i.e. unstage a file;git reset [file];;;;;4.73;;learned;2019-10-29 08:21:09;4;2019-10-29 08:21:09;1;getBackFileFromStagingAreaToWorkingDirectory_gitResetFile;2019-10-29 05:48:34;systemUnknown
1659;git;command;"show simplified log ""hash - title - author""";"git log --pretty=format:""%h - %s - %an"" ";;;;;4.77;;learned;2020-05-06 08:58:02;9;2020-05-06 08:58:02;1;showSimplifiedLog_gitLogPrettyformathSAn;2019-10-29 05:48:34;systemUnknown
1660;git;command;discard changes in working directory (before add);git checkout -- [file];;;;;4.64;;learned;2019-10-29 07:14:06;2;2019-10-29 07:14:06;1;discardChangesInWorkingDirectoryBeforeAdd_gitCheckoutFile;2019-10-29 05:48:34;systemUnknown
1661;git;command;remove file from working directory and add deletion to staging area;git rm [file];;;;;4.74;;learned;2019-10-29 07:43:38;2;2019-10-29 07:43:38;1;removeFileFromWorkingDirectoryAndAddDeletionToStagingArea_gitRmFile;2019-10-29 06:33:19;systemUnknown
1662;git;command;how to find out what the master is;``` `git remote show origin` (you have to login);;;;;3.79;;learned;2020-06-08 06:03:08;5;2020-06-08 06:03:08;1;howToFindOutWhatTheMasterIs_gitRemoteShowOriginYouHaveToLogin;2019-10-29 06:33:19;systemUnknown
1663;git;command;list operations made on local repository;git reflog;;;;;2.76;;testing;2019-11-29 02:16:14;2;;0;listOperationsMadeOnLocalRepository_gitReflog;2019-10-29 06:33:19;systemUnknown
1664;git;command;save local copy temporarily;``` `git stash save pdf-junk`, `git stash list`, `git stash pop`, `git stash pop stash@{0}`, `get stash drop`;;;;;4.36;;removed;2020-05-13 09:44:55;9;;0;saveLocalCopyTemporarily_gitStashGitStashPopGetStashDrop;2019-10-29 06:33:19;systemUnknown
1665;git;command;how to get Github project locally;git clone https://github.com/edwardtanguay/testinfo.git test001;;;;;4.25;;learned;2020-05-13 08:42:24;6;2020-05-13 08:42:24;1;howToGetGithubProjectLocally_gitCloneHttpsgithubcomedwardtanguaytestinfogitTest1;2019-10-29 07:03:51;systemUnknown
1666;git;command;how to get updates from Github code locally and copy back up;git pull, git push;;;;;4.77;;learned;2019-10-29 07:43:11;2;2019-10-29 07:43:11;1;howToGetUpdatesFromGithubCodeLocallyAndCopyBackUp_gitPullGitPush;2019-10-29 07:03:51;systemUnknown
1667;git;command;change user name;"git config --global user.name ""Hans Schmidt""";;;;;4.5;;learned;2019-11-27 11:11:35;10;2019-11-27 11:11:35;1;changeUserName_gitConfigGlobalUsernameHansSchmidt;2019-10-29 08:20:51;systemUnknown
1668;git;command;delete branch on Github;git push origin :issue001;;;;;2.5;;testing;2019-10-29 20:24:15;1;;0;deleteBranchOnGithub_gitPushOriginIssue1;2019-10-29 08:20:51;systemUnknown
1669;git;command;change email ;"git config --global user.email ""hans@nnn.com""";;;;;4.84;;learned;2019-10-30 12:08:10;4;2019-10-30 12:08:10;1;changeEmail_gitConfigGlobalUseremailHansnnncom;2019-10-29 08:20:51;systemUnknown
1803;git;command;how to get git to remember your github credentials;git config --global credential.helper store;;;;;4.68;;learned;2019-11-29 04:44:20;5;2019-11-29 04:44:20;1;howToGetGitToRememberYourGithubCredentials_gitConfigGlobalCredentialhelperStore;2019-11-27 10:42:30;systemUnknown
1817;javascript;code;count how many items in array have property of certain value;"const numberSelected = this.categories.filter(x => x.included).length;";;;;;4.42;;learned;2019-11-29 07:18:48;3;2019-11-29 07:18:48;1;countHowManyItemsInArrayHavePropertyOfCertainValue_constNumberSelectedThiscategoriesfilterxXincludedlength;2019-11-28 21:12:49;systemUnknown
1818;javascript;code;change values of a property on each item in an array;"``` `this.categories.forEach((x) => { x.included = false; })`, but notice this only works for properties of objects, i.e. you can't change the objects themselves";;;;;3.43;;learned;2020-06-08 06:06:12;2;2020-06-08 06:06:12;1;changeValuesOfAPropertyOnEachItemInAnArray_thiscategoriesforEachxXincludedFalse;2019-11-28 21:21:41;systemUnknown
1822;git;command;how to add and commit;"git commit -am ""changed header""";;;;;2.5;;testing;2019-11-29 04:19:54;1;;0;howToAddAndCommit_gitCommitAmChangedHeader;2019-11-28 17:28:16;systemUnknown
